Hindi,English
"पहलगाम अटैक पर विवादित पोस्ट, 7 राज्यों में 26 गिरफ्तार:इनमें विधायक, पत्रकार, वकील और स्टूडेंट शामिल; देश विरोधी टिप्पणी की थी","Disputed posts on Pahalgam attack, 26 arrested in 7 states: these include MLAs, journalists, lawyers and students; Was made anti -national comments"
"खड़गे बोले- पहलगाम हमले पर PM मोदी गंभीर नहीं:सर्वदलीय बैठक में नहीं पहुंचे, बिहार में रैली करने में व्यस्त थे","Kharge said- PM Modi is not serious on Pahalgam attack: He did not reach all-party meeting, was busy rally in Bihar"
मॉर्निंग न्यूज ब्रीफ:8 आतंकियों के घर गिराए गए; पाकिस्तानी अफसर ने भारतीयों को धमकाया; आज सबसे बड़े पैसेंजर प्लेन ने पहली उड़ान भरी थी,Morning News Brief: 8 terrorists' houses were demolished; Pakistani officer threatened Indians; Today the biggest passenger plane took the first flight
LIVEपहलगाम आतंकी हमले की जांच NIA करेगी:सुरक्षाबलों ने कश्मीर में 8 आतंकियों के घर धमाके से ढहाए; ईरान राष्ट्रपति ने मोदी से बात की,The LIVE Pahalgam will investigate the terrorist attack NIA: The security forces demolished the houses of 8 terrorists in Kashmir; Iran President spoke to Modi
"80 घंटे से पाकिस्तानी सेना की गिरफ्त में BSF जवान:अधिकारियों ने 3 मीटिंग्स की, अब तक रिहाई नहीं; गलती से बॉर्डर पार हुआ था","BSF jawans caught by Pakistani Army for 80 hours: Officers have 3 meetings, not released yet; Was accidentally crossed the border"
भारत ने 17 करोड़ लोगों को गरीबी से निकाला:10 साल में गरीबी दर 14% घटी; वर्ल्ड बैंक ने हालिया रिपोर्ट में बताया,India removed 17 crore people from poverty: Poverty rate declined 14% in 10 years; World Bank told in recent report
नाबालिग के ब्रेस्ट छूना रेप की कोशिश नहीं- कलकत्ता हाईकोर्ट:गंभीर यौन उत्पीड़न बताते हुए आरोपी को दी जमानत; सुप्रीम कोर्ट ने दी थी हिदायत,"Minor's breast touching raping is not attempted- Calcutta High Court: Granted bail to the accused, stating serious sexual harassment; Supreme Court had instructed"
"भास्कर अपडेट्स:कुपवाड़ा में 43 साल के शख्स को घर के बाहर गोली मारी, अस्पताल में भर्ती; इलाके में हाई अलर्ट जारी","Bhaskar updates: 43 -year -old man shot outside the house in Kupwara, hospitalized; High alert issued in the area"
"उद्धव की शिवसेना ने MNS से गठबंधन के संकेत दिए:सोशल मीडिया पर लिखा-  एकजुट होने का समय आया, पार्टी मराठी गौरव की रक्षा को तैयार","Uddhav's Shiv Sena indicated the alliance with MNS: Written on social media- time came to unite, party ready to protect Marathi Gaurav"
मुंबई पुलिस बोली- पूछताछ में सहयोग नहीं कर रहा तहव्वुर:घुमा-फिराकर जवाब दे रहा आतंकी हमले का मास्टरमाइंड; 28 अप्रैल तक NIA हिरासत में है,Mumbai Police bid- Tehwwur is not cooperating in interrogation: Mastermind of terrorist attack turning around; NIA is in custody till 28 April
